,SKU,Fecha,Soles
55876,PH ELITE DH 2 X 10 LA,2021-03-01,253114.98
55879,TF LADYSOFT NATURAL CON ALAS 10 X 24 INN,2020-03-30,1157.05
55880,PH ELITE ULTRA  DH 24 X 2 FLOR S/C,2020-01-07,38193.99
55881,PH ELITE DH 6 X 8 LA,2020-03-08,9572.9
55882,TF LADYSOFT NORMAL CON ALAS 42 X 8 INN,2020-12-17,6108.28
55883,PL PAÑAL BABYSEC RECIEN NACIDO 20 X10 MX,2021-03-22,9117.55
55888, PH ELITE PLUS DH VERTICAL 6 X 8,2021-03-02,38248.38
55891,TF LADYSOFT NOCTURNA CON ALAS 8 X 24 INN,2020-02-24,5199.94
55892,TH TOALLITAS HUMEDAS PREMIUM 184x8,2021-03-10,15732.34
55893,PL PAÑAL BABYSEC PREMIUM PPK XXG 44x2ND2,2020-12-07,217030.26
55894,PH HIGIENOL DH  4 X 12,2020-12-18,170834.76
55896,TH TOALLAS HUMEDAS BABYSEC PREMIUM 150x8,2020-11-10,14670.9
55899,TF LADYSOFT NORMAL CON ALAS 42 X 8 ASS,2020-11-16,26463.93
55901,PL PAÑAL BABYSEC SPCTOTAL MEGA XG 40 X 3,2019-10-10,408.73
55905,TF LADYSOFT BASICA CON ALAS 8 X 24 PER,2020-04-15,14325.77
55907,PL PAÑAL BABYSEC ULTRASEC PPK XG 48X2 NF,2020-07-05,727.92
55908,PL PAÑAL BABYSEC ULTRASEC PPK GR 58X2 NF,2020-11-08,1237.98
55910,TH TOALLAS HUM.BABYSEC PREMIUM 150x8,2020-02-05,7642.73
55913,RC NOVA DH MEGAROLLO  1 X 12,2021-03-21,16245.03
55915,RC NOVA DH MEGAROLLO  2 X 6,2019-11-05,22941.19
55916,PO ELITE ALOE VERA DISPENSADOR 27 X 8,2020-11-13,10050.01
55917,TH TOALLAS HUMEDAS BABYSEC PREMIUM 80x12,2020-12-01,2718.86
55919,PH ELITE CLÁSICO DH 2 X 10 CO,2020-09-08,29648.15
55920,PH ELITE DH 2 X 10 LA,2020-06-05,641781.69
55921,PL PAÑAL BABYSEC PREMIUM PPK XXG 44x2 ND,2021-02-12,50064.53
55927,PL PAÑAL BABYSEC PREMIUM PPK XG 48x2 ND2,2020-08-28,300242.83
55928,PL PAÑAL BABYSEC RECIEN NACIDO 20 X10 MX,2020-03-18,5580.65
55940,TF LADYSOFT NOCTURNA DOBLE ALAS 10 X 8,2020-12-06,1113.27
55944,TH TOALLITAS HUMEDAS PREMIUM 184x8,2020-01-20,2402.71
55954,TH TOALLAS HUM.BABYSEC PREMIUM 150x8,2021-03-26,7442.99
55957,PL PAÑAL BABYSEC PREMIUM PPK GR 58x2ND2,2021-02-15,49829.68
55959,TH TOALLAS HUMEDAS BABYSEC PREMIUM 50x10,2021-06-21,2231.33
55961,PH ELITE ULTRA  DH 24 X 2 FLOR S/C,2020-05-23,13156.87
55962,SE ELITE CORTADA 1000 X 12,2020-04-13,72.87
55969,PL PAÑAL BABYSEC PREMIUM SME XG 52x2 ND2,2020-04-17,171397.26
55972,PH HIGIENOL DH  4 X 12,2021-03-25,130064.3
55990,PL PAÑAL BABYSEC PREMIUM PPK GR 58x2 ND,2020-05-21,153728.08
55993,RC NOVA DH MEGAROLLO  2 X 6,2020-02-10,23202.12
55999,PL PAÑAL BABYSEC PREMIUM PPK GR 58x2ND2,2019-09-22,4172.96
56001,PH ELITE DH 6 X 8 LA,2021-04-18,565.25
56004,SE ELITE CORTADA 200 X 18 PAQ XBOLSA,2021-03-18,198160.27
56011,PL PAÑAL BABYSEC PREMIUM PPK XXG 44x2ND2,2021-03-14,323.86
56013,PL PAÑAL BABYSECULTRASEC PPK XXG 44X2 NF,2020-02-13,229895.84
56016,SE ELITE PRACTICA 100 X 12 PAQ X BOLSA,2019-10-08,8038.68
56025,PL PAÑAL BABYSEC SPCTOTAL MEGA XG 40 X 3,2021-05-30,126.44
56027,PL PAÑAL BABYSEC ULTRASEC PPK XG 48X2 NF,2019-11-13,374024.33
56032,PL PAÑAL BABYSEC PREMIUM PPK MD 64x2 ND,2020-09-24,24363.69
56035,TF LADYSOFT NORMAL CON ALAS 42 X 8 ASS,2020-06-17,26089.5
56036,TF LADYSOFT NOCTURNA DOBLE ALAS 10 X 8,2020-08-31,42416.41
56042,PH ELITE  DH 4 X 12 LA,2019-12-23,570032.85
56045,PL PAÑAL BABYSEC PREMIUM PPK GR 58x2ND2,2020-11-10,38605.33
56052,PH ELITE DUO  DH 6 x 8  25 METROS,2021-03-18,150992.93
56055,SE ELITE CORTADA 200 X 18 PAQ XBOLSA,2020-01-28,468397.0
56056,PH ELITE PLUS DH 24 X 2,2020-11-22,257.88
56058,PD LADYSOFT PROTECT DIARIO 20 X 30 CHINA,2020-09-21,1644.18
56062,TF LADYSOFT NOR CON ALAS 10 X 6 X 4 INN,2020-09-05,159810.71
56078,PH NOBLE DH 24 X 2,2020-09-14,49766.5
56080,PH NOBLE DH 2 X 10,2021-04-21,609846.26
56082,RC ELITE CLASICA DH MEGARROLLO  1 X 12,2020-06-13,559180.0
56086,TH TOALLAS HUMEDAS BABYSEC PREMIUM 150x8,2019-09-24,14077.19
56088,RC NOVA DH MEGAROLLO  2 X 6,2019-10-31,60169.72
56093,SE ELITE CORTADA 200 X 18 PAQ XBOLSA,2019-12-12,527142.46
56094,PL PAÑAL BABYSEC PREMIUM PPK GR 58x2 ND,2021-03-08,48491.17
56096,TF LADYSOFT NOCTURNA DOBLE ALAS 10 X 8,2019-10-23,14501.1
56100,PH ELITE PLUS DH 24 X 2,2021-03-04,43193.75
56104,PL PAÑAL BABYSEC RECIEN NACIDO 20 X10 MX,2021-03-27,10589.12
56105,PL PAÑAL BABYSEC RECIEN NACIDO 20 X10 MX,2020-03-23,5672.9
56107,PH ELITE DH 6 X 8 LA,2019-09-09,362503.57
56110,PL PAÑAL BABYSEC PREMIUM SME XG 52x2 ND2,2020-09-06,471.11
56113,TF LADYSOFT BASICA CON ALAS 8 X 24 PER,2019-10-20,2350.4
56114,PH ELITE ULTRA  DH 24 X 2 FLOR S/C,2021-05-04,23063.59
56130,TH TOALLAS HUMEDAS BABYSEC PREMIUM 50x10,2021-06-04,1879.3
56133,PL PAÑAL BABYSEC ULTRASEC PPK GR 58X2 NF,2020-08-31,181664.58
56134,TH TOALLAS HUMEDAS BABYSEC PREMIUM 50x10,2020-11-24,1081.84
56135,PH ELITE ULTRA  DH 24 X 2 FLOR S/C,2019-10-30,28168.81
56147,PH ELITE DH 2 X 10 LA,2021-05-09,1081.23
56148,PL PAÑAL BABYSEC RECIEN NACIDO 20 X10 MX,2020-03-26,4837.56
56149,PL PAÑAL BABYSEC ULTRASEC PPK XG 48X2 NF,2020-04-27,376163.62
56151, PH ELITE PLUS DH VERTICAL 6 X 8,2021-05-10,19875.76
56153,PH HIGIENOL DH  4 X 12,2020-10-10,90879.27
56156,PH ELITE DUO  DH 4x12 25 METROS,2021-05-22,149823.24
56161,PL PAÑAL BABYSEC ULTRASEC PPK MD 64X2 NF,2020-11-03,43101.91
56162,SE ELITE PRACTICA 100 X 12 PAQ X BOLSA,2021-05-11,12779.37
56165,RC ELITE CLASICA DH MEGARROLLO  1 X 12,2020-10-13,263320.19
56171,PH NOBLE DH 2 X 10,2020-06-20,1305578.07
56173,TF LADYSOFT NOR CON ALAS 10 X 6 X 4 INN,2021-02-21,4670.45
56175,PH ELITE PLUS DH 24 X 2,2021-01-24,166.86
56176,PH ELITE DH 2 X 10 LA,2020-02-29,843180.73
56181,PH ELITE DUO  DH 6 x 8  25 METROS,2021-01-14,581285.52
56182,TF LADYSOFT NOCTURNA DOBLE ALAS 10 X 8,2020-10-10,25115.48
56183,SE ELITE PRACTICA 100 X 12 PAQ X BOLSA,2021-04-01,6610.24
56185,PD LADYSOFT PROTECT DIARIO 20 X 30 CHINA,2021-03-12,1196.92
56188,PL PAÑAL BABYSEC PREMIUM SME XG 52x2 ND2,2019-10-28,81300.49
56189,PH ELITE DH 2 X 10 LA,2020-09-05,607248.09
56196,SE ELITE CORTADA 1000 X 12,2020-12-21,12193.2
56208,TF LADYSOFT BASICA CON ALAS 8 X 24 PER,2020-08-13,295.17
56210,PH ELITE DH 6 X 8 LA,2020-05-01,58304.71
56217,PL PAÑAL BABYSEC ULTRASEC PPK MD 64X2 NF,2020-02-05,81476.99
56218,PH ELITE DUO  DH 4x12 25 METROS,2020-04-05,43483.8
56220,PL PAÑAL BABYSEC ULTRASEC PPK GR 58X2 NF,2020-06-29,201598.46
56226,RC ELITE CLASICA DH MEGARROLLO  1 X 12,2020-04-27,374019.46
56227,TF LADYSOFT NORMAL CON ALAS 42 X 8 ASS,2020-08-19,27022.56
56229,PL PAÑAL BABYSEC SPCTOTAL MEGA XG 40 X 3,2019-11-13,216.78
56230,PO ELITE ALOE VERA DISPENSADOR 27 X 8,2020-08-05,3994.0
56236,TH TOALLAS HUM.BABYSEC PREMIUM 150x8,2020-04-22,1591.1
56238,PL PAÑAL BABYSEC ULTRASEC PPK XG 48X2 NF,2020-11-28,290359.34
56243,PH HIGIENOL DH  4 X 12,2020-08-17,160058.65
56246,TF LADYSOFT NOR CON ALAS 10 X 6 X 4 INN,2020-06-05,152925.94
56248,PH ELITE ULTRA  DH 24 X 2 FLOR S/C,2020-05-09,13989.77
56249,PL PAÑAL BABYSEC PREMIUM PPK XG 48x2 ND2,2021-05-24,397836.33
56258,TH TOALLAS HUMEDAS BABYSEC PREMIUM 80x12,2020-03-30,3299.59
56259,SE ELITE PRACTICA 100 X 12 PAQ X BOLSA,2021-03-26,4324.83
56260,TF LADYSOFT NATURAL CON ALAS 10 X 24 INN,2019-11-28,3601.83
56261,PL PAÑAL BABYSEC RECIEN NACIDO 20 X10 MX,2020-06-26,8418.17
56270, PH ELITE PLUS DH VERTICAL 6 X 8,2020-10-30,33955.45
56272,PH ELITE PLUS DH 24 X 2,2020-11-30,81840.28
56279,PH ELITE DUO  DH 4x12 25 METROS,2021-04-06,243040.63
56284,PL PAÑAL BABYSEC PREMIUM PPK XG 48x2 ND2,2019-09-21,378410.51
56287,PL PAÑAL BABYSEC ULTRASEC PPK GR 58X2 NF,2021-03-10,107051.25
56291,PL PAÑAL BABYSEC SPCTOTAL MEGA XG 40 X 3,2020-04-22,878.64
56293,PL PAÑAL BABYSEC SPCTOTAL MEGA XXG 36X3,2019-09-18,246.61
56295,PL PAÑAL BABYSECULTRASEC PPK XXG 44X2 NF,2020-05-21,195860.98
56310,SE ELITE PRACTICA 100 X 12 PAQ X BOLSA,2020-01-14,19637.82
56311,PL PAÑAL BABYSEC PREMIUM PPK GR 58x2 ND,2020-08-27,64989.22
56313,RC NOVA DH MEGAROLLO  1 X 12,2020-01-07,446081.85
56316,TH TOALLITAS HUMEDAS PREMIUM 184x8,2020-03-06,555.49
56324,SE ELITE DOBLADA BLANCA 100 - 33X33 (N),2021-04-12,44678.29
56327,TF LADYSOFT BASICA CON ALAS 8 X 24 PER,2021-01-21,11242.92
56329,PL PAÑAL BABYSEC ULTRASEC PPK XG 48X2 NF,2020-12-14,168598.62
56336,PL PAÑAL BABYSEC PREMIUM PPK XG 48x2 ND2,2021-05-17,242465.43
56337,PH ELITE  DH 4 X 12 LA,2020-03-30,523184.99
56338,PD LADYSOFT PROTECT DIARIO 20 X 30 CHINA,2020-12-28,654.95
56339,TF LADYSOFT NATURAL CON ALAS 10 X 24 INN,2020-12-08,3103.26
56341,PL PAÑAL BABYSEC ULTRASEC PPK GR 58X2 NF,2020-01-20,289111.69
56343,PL PAÑAL BABYSEC PREMIUM PPK XXG 44x2ND2,2021-06-20,1150.7
56344,PH NOBLE DH 24 X 2,2020-09-18,57784.96
56346,PH HIGIENOL DH  4 X 12,2021-04-22,53468.0
56347,PL PAÑAL BABYSEC SPCTOTAL MEGA XXG 36X3,2020-09-21,323.44
56348,PH ELITE DUO  DH 6 x 8  25 METROS,2021-06-24,211228.68
56360,PL PAÑAL BABYSEC PREMIUM SME XG 52x2 ND2,2020-11-04,139197.52
56363,PH ELITE CLÁSICO DH 2 X 10 CO,2020-12-27,2482.33
56369,TF LADYSOFT NOR CON ALAS 10 X 6 X 4 INN,2020-12-12,83575.73
56370,PL PAÑAL BABYSEC PREMIUM PPK XXG 44x2ND2,2019-10-25,235525.11
56377,PH ELITE DH 6 X 8 LA,2020-03-11,351503.61
56378,PL PAÑAL BABYSEC SPCTOTAL MEGA XXG 36X3,2021-05-14,18086.82
56381,RC ELITE CLASICA DH MEGARROLLO  1 X 12,2020-06-17,395616.09
56383,PH ELITE DUO  DH 4x12 25 METROS,2020-01-28,404992.08
56387,PH ELITE CLÁSICO DH 2 X 10 CO,2020-12-21,24580.5
56392,TF LADYSOFT NOR CON ALAS 10 X 6 X 4 INN,2019-11-20,109045.68
56393,PL PAÑAL BABYSEC PREMIUM PPK MD 64x2 ND,2020-01-18,48194.84
56396,SE ELITE PRACTICA 100 X 12 PAQ X BOLSA,2021-02-13,3055.24
56397,PL PAÑAL BABYSEC SPCTOTAL MEGA XXG 36X3,2021-03-08,770.53
56404,TH TOALLAS HUMEDAS BABYSEC PREMIUM 150x8,2020-04-23,13594.41
56407,PL PAÑAL BABYSEC PREMIUM PPK GR 58x2 ND,2021-03-31,129684.28
56416,PH ELITE ULTRA  DH 24 X 2 FLOR S/C,2020-04-07,22911.07
56417,TF LADYSOFT BASICA CON ALAS 8 X 24 PER,2020-11-15,240.34
56420,PL PAÑAL BABYSEC PREMIUM PPK XG 48x2 ND2,2020-04-16,464894.6
56425,PH ELITE DH 2 X 10 LA,2020-05-18,924692.87
56427,TH TOALLAS HUMEDAS BABYSEC PREMIUM 50x10,2019-09-10,3162.24
56432,PH NOBLE DH 24 X 2,2021-04-14,105245.7
56436,PL PAÑAL BABYSEC PREMIUM PPK GR 58x2 ND,2020-08-08,35586.31
56437,PH ELITE PLUS DH 24 X 2,2020-08-04,55520.27
56440,TF LADYSOFT NOCTURNA DOBLE ALAS 10 X 8,2020-01-18,14749.88
56441,PH NOBLE DH 24 X 2,2019-12-16,49509.96
56442,PL PAÑAL BABYSEC ULTRASEC PPK GR 58X2 NF,2020-09-23,148168.1
56450,PL PAÑAL BABYSEC PREMIUM SME XG 52x2 ND2,2021-05-31,503428.89
56451,SE ELITE CORTADA 200 X 18 PAQ XBOLSA,2020-09-10,143251.23
56452,PD LADYSOFT PROTECT DIARIO 20 X 30 CHINA,2021-05-08,767.46
56463,PH HIGIENOL DH  4 X 12,2020-11-02,85290.35
56467, PH ELITE PLUS DH VERTICAL 6 X 8,2021-06-02,13859.43
56472,TF LADYSOFT NORMAL CON ALAS 42 X 8 ASS,2020-12-17,36652.21
56473,TH TOALLITAS HUMEDAS PREMIUM 184x8,2020-02-20,72.86
56474,PO ELITE ALOE VERA DISPENSADOR 27 X 8,2020-09-28,6439.03
56476,PH ELITE DH 6 X 8 LA,2020-04-08,372954.64
56478,TF LADYSOFT NOCTURNA CON ALAS 8 X 24 INN,2020-11-19,2521.94
56481,TF LADYSOFT NORMAL CON ALAS 42 X 8 INN,2019-11-29,5080.27
56485,PL PAÑAL BABYSEC PREMIUM PPK GR 58x2ND2,2020-03-29,3230.64
56486,PL PAÑAL BABYSEC PREMIUM PPK XXG 44x2ND2,2020-02-27,152590.08
56487,SE ELITE PRACTICA 100 X 12 PAQ X BOLSA,2020-04-14,10954.56
56489,PH ELITE ULTRA  DH 24 X 2 FLOR S/C,2019-10-07,24327.39
56491,TH TOALLAS HUMEDAS BABYSEC PREMIUM 150x8,2019-10-23,11350.27
56496,PH ELITE DUO  DH 6 x 8  25 METROS,2020-12-31,877123.17
56498, PH ELITE PLUS DH VERTICAL 6 X 8,2020-06-23,23265.02
56507,PH ELITE ULTRA  DH 24 X 2 FLOR S/C,2021-03-17,42357.62
56508,PH ELITE DUO  DH 4x12 25 METROS,2019-12-18,294429.35
56513,PL PAÑAL BABYSEC SPCTOTAL MEGA XXG 36X3,2020-07-17,237.1
56516,PH ELITE PLUS DH 24 X 2,2020-06-17,28780.55
56518,PL PAÑAL BABYSECULTRASEC PPK XXG 44X2 NF,2020-12-15,154702.38
56519,PL PAÑAL BABYSEC ULTRASEC PPK GR 58X2 NF,2019-12-15,2514.36
56523,TF LADYSOFT NORMAL CON ALAS 42 X 8 INN,2020-04-09,524.11
56526,TF LADYSOFT NORMAL CON ALAS 42 X 8 ASS,2019-09-08,309.15
56530,PO ELITE ALOE VERA DISPENSADOR 27 X 8,2021-01-18,4417.5
56533,PH NOBLE DH 2 X 10,2020-01-14,1511497.31
56539,PD LADYSOFT PROTECT DIARIO 20 X 30 CHINA,2020-08-21,1039.91
56541,SE ELITE CORTADA 200 X 18 PAQ XBOLSA,2021-05-28,155898.1
56546,TH TOALLAS HUMEDAS BABYSEC PREMIUM 150x8,2021-04-02,818.75
56547,PH ELITE CLÁSICO DH 2 X 10 CO,2020-07-27,60150.67
56550,PL PAÑAL BABYSEC SPCTOTAL MEGA XG 40 X 3,2020-03-01,192.54
56554,TF LADYSOFT NOCTURNA CON ALAS 8 X 24 INN,2021-03-05,1592.27
56555,PL PAÑAL BABYSEC PREMIUM PPK XG 48x2 ND2,2019-11-27,516415.2
56557,TH TOALLAS HUMEDAS BABYSEC PREMIUM 80x12,2021-02-05,5813.49
56562,TH TOALLAS HUMEDAS BABYSEC PREMIUM 50x10,2020-02-21,1692.96
56565,SE ELITE DOBLADA BLANCA 100 - 33X33 (N),2020-06-15,48039.78
56566,PL PAÑAL BABYSEC RECIEN NACIDO 20 X10 MX,2020-01-12,3675.69
56567,TH TOALLAS HUM.BABYSEC PREMIUM 150x8,2020-06-27,3490.87
56571,TF LADYSOFT NOCTURNA DOBLE ALAS 10 X 8,2019-09-05,12613.37
56576,TF LADYSOFT NOCTURNA DOBLE ALAS 10 X 8,2021-05-01,201.07
56580,PH ELITE DUO  DH 6 x 8  25 METROS,2020-06-25,484132.43
56582,TF LADYSOFT NORMAL CON ALAS 42 X 8 ASS,2020-09-11,16675.89
56587,TF LADYSOFT NATURAL CON ALAS 10 X 24 INN,2021-03-23,534.17
56588,SE ELITE CORTADA 1000 X 12,2021-04-09,6223.54
56591,SE ELITE CORTADA 200 X 18 PAQ XBOLSA,2020-05-24,237.29
56594,PH NOBLE DH 24 X 2,2020-11-24,66054.2
56595,SE ELITE CORTADA 1000 X 12,2020-02-19,7132.64
56597,TF LADYSOFT NOR CON ALAS 10 X 6 X 4 INN,2020-04-09,6000.59
56602,PH ELITE  DH 4 X 12 LA,2021-04-05,310873.59
56604,PL PAÑAL BABYSEC PREMIUM PPK GR 58x2ND2,2020-03-19,38248.38
56605,PL PAÑAL BABYSEC PREMIUM PPK GR 58x2 ND,2021-06-19,54109.66
56606,PL PAÑAL BABYSEC PREMIUM PPK XXG 44x2ND2,2020-12-09,198576.36
56611,TH TOALLAS HUM.BABYSEC PREMIUM 150x8,2020-11-25,5440.26
56612,PH ELITE ULTRA  DH 24 X 2 FLOR S/C,2021-02-07,156.36
56617,RC NOVA DH MEGAROLLO  1 X 12,2020-05-31,10902.6
56621,TH TOALLAS HUMEDAS BABYSEC PREMIUM 80x12,2019-11-07,3115.82
56622,SE ELITE PRACTICA 100 X 12 PAQ X BOLSA,2020-11-02,7698.19
56623,SE ELITE CORTADA 200 X 18 PAQ XBOLSA,2021-04-26,153250.87
56625,PH NOBLE DH 2 X 10,2019-12-13,1784916.94
56632,TF LADYSOFT NATURAL CON ALAS 10 X 24 INN,2021-02-13,2647.73
56634,TF LADYSOFT DELG CON ALAS 10 X 6 X 4 INN,2020-05-30,7961.41
56638,PL PAÑAL BABYSEC PREMIUM PPK GR 58x2ND2,2020-11-09,45053.38
56641,PL PAÑAL BABYSEC RECIEN NACIDO 20 X10 MX,2019-12-11,7775.59
56645,PL PAÑAL BABYSEC SPCTOTAL MEGA XG 40 X 3,2020-07-30,258.04
56646,PH ELITE  DH 4 X 12 LA,2020-02-15,518487.75
56650,PH HIGIENOL DH 4x6 40 METROS,2021-06-25,206814.26
56653,PH ELITE PLUS DH 24 X 2,2020-11-21,51115.51
56654,TF LADYSOFT NOR CON ALAS 10 X 6 X 4 INN,2020-09-04,102551.88
56656,PH ELITE ULTRA  DH 24 X 2 FLOR S/C,2019-12-20,9802.26
56664,TF LADYSOFT NOCTURNA DOBLE ALAS 10 X 8,2021-03-24,26016.75
56666,PH ELITE PLUS DH 24 X 2,2021-05-20,33549.2
56671,PH ELITE DH 2 X 10 LA,2020-02-05,628520.8
56672,PH NOBLE DH 2 X 10,2021-02-03,997097.32
56673,SE ELITE DOBLADA BLANCA 100 - 33X33 (N),2019-09-22,1213.6
56678,TF LADYSOFT NOCTURNA CON ALAS 8 X 24 INN,2019-12-14,4717.21
56680,TH TOALLAS HUMEDAS BABYSEC PREMIUM 150x8,2020-01-11,10778.02
56681,PL PAÑAL BABYSEC ULTRASEC PPK GR 58X2 NF,2021-03-06,166516.33
56683,PL PAÑAL BABYSEC PREMIUM PPK XXG 44x2 ND,2020-08-15,121653.86
56695,TH TOALLITAS HUMEDAS PREMIUM 184x8,2020-05-04,2473.99
56696,PL PAÑAL BABYSEC ULTRASEC PPK MD 64X2 NF,2020-10-12,57205.78
56698,PL PAÑAL BABYSEC PREMIUM PPK XXG 44x2ND2,2021-06-16,345471.57
56708,SE ELITE CORTADA 1000 X 12,2020-11-12,4961.31
56712,SE ELITE CORTADA 200 X 18 PAQ XBOLSA,2021-03-29,232133.77
56713,PL PAÑAL BABYSEC PREMIUM PPK MD 64x2 ND,2021-05-05,23825.77
56717,TH TOALLAS HUMEDAS BABYSEC PREMIUM 150x8,2020-01-23,19220.59
56718,PH ELITE DUO  DH 6 x 8  25 METROS,2020-07-21,678108.9
56721,PL PAÑAL BABYSEC PREMIUM PPK GR 58x2ND2,2020-05-22,116776.37
56725,PD LADYSOFT PROTECT DIARIO 20 X 30 CHINA,2021-03-15,854.51
56726,RC ELITE CLASICA DH MEGARROLLO  1 X 12,2020-12-21,371480.97
56728,TH TOALLAS HUMEDAS BABYSEC PREMIUM 50x10,2020-12-09,2782.49
56729,TF LADYSOFT NOCTURNA DOBLE ALAS 10 X 8,2020-02-18,12528.27
56733,PL PAÑAL BABYSEC ULTRASEC PPK XG 48X2 NF,2019-10-10,331070.8
56736,PL PAÑAL BABYSECULTRASEC PPK XXG 44X2 NF,2020-12-29,267823.93
56737,PL PAÑAL BABYSEC PREMIUM PPK XXG 44x2 ND,2020-04-03,85475.34
56742,RC NOVA DH MEGAROLLO  1 X 12,2020-06-25,942607.29
56743,PH ELITE  DH 4 X 12 LA,2020-07-05,5949.28
56749,PH ELITE CLÁSICO DH 2 X 10 CO,2021-01-09,32518.87
56755,PL PAÑAL BABYSEC PREMIUM PPK GR 58x2 ND,2020-09-15,25591.47
56756,PH ELITE DH 6 X 8 LA,2021-06-26,95288.66
56757,PL PAÑAL BABYSEC RECIEN NACIDO 20 X10 MX,2019-12-26,7277.95
56759,PH ELITE DH 24 X 2 LA,2021-03-01,175994.11
56761,PL PAÑAL BABYSEC PREMIUM PPK GR 58x2ND2,2021-05-26,34997.79
56768,PH ELITE CLÁSICO DH 2 X 10 CO,2020-07-10,44013.2
56772,PL PAÑAL BABYSEC PREMIUM PPK XG 48x2 ND2,2020-03-29,5378.87
56774,TH TOALLAS HUM.BABYSEC PREMIUM 150x8,2021-06-17,6119.29
56780,PO ELITE ALOE VERA DISPENSADOR 27 X 8,2021-02-04,4967.97
56781,PH HIGIENOL DH 4x6 40 METROS,2020-09-11,163475.33
56786,PL PAÑAL BABYSEC ULTRASEC PPK XG 48X2 NF,2019-10-04,345011.6
56787,PL PAÑAL BABYSEC PREMIUM SME XG 52x2 ND2,2019-10-19,102865.94
56795,PL PAÑAL BABYSEC PREMIUM PPK XXG 44x2ND2,2021-02-05,184346.54
56808,TF LADYSOFT BASICA CON ALAS 8 X 24 PER,2020-02-12,13388.77
56809,PH ELITE DH 2 X 10 LA,2021-05-23,2466.52
56810,PL PAÑAL BABYSEC ULTRASEC PPK MD 64X2 NF,2020-10-03,34167.0
56817,PL PAÑAL BABYSECULTRASEC PPK XXG 44X2 NF,2021-04-03,231484.97
56819,SE ELITE PRACTICA 100 X 12 PAQ X BOLSA,2021-06-03,15313.46
56825,TH TOALLAS HUMEDAS BABYSEC PREMIUM 150x8,2020-12-14,21239.43
56827,RC ELITE CLASICA DH MEGARROLLO  1 X 12,2020-09-23,241899.05
56834,PH ELITE CLÁSICO DH 2 X 10 CO,2021-06-04,12026.6
56835,RC NOVA DH MEGAROLLO  2 X 6,2020-02-13,27260.34
56836,SE ELITE DOBLADA BLANCA 100 - 33X33 (N),2019-09-23,65051.23
56841,PH ELITE DH 2 X 10 LA,2021-04-16,311999.69
56842,PH ELITE ULTRA  DH 24 X 2 FLOR S/C,2019-11-22,17363.16
56847,PO ELITE ALOE VERA DISPENSADOR 27 X 8,2020-02-18,5619.16
56849,PL PAÑAL BABYSEC ULTRASEC PPK GR 58X2 NF,2021-04-03,180154.97
56852, PH ELITE PLUS DH VERTICAL 6 X 8,2021-04-17,20656.79
56855,TF LADYSOFT BASICA CON ALAS 8 X 24 PER,2020-01-06,13647.84
56859,PH NOBLE DH 2 X 10,2021-06-01,225283.1
56862,TH TOALLAS HUMEDAS BABYSEC PREMIUM 150x8,2020-06-17,14593.12
56863,PL PAÑAL BABYSEC SPCTOTAL MEGA XXG 36X3,2021-06-17,144.92
56865,PH HIGIENOL DH  4 X 12,2020-03-24,184021.4
56871,PH ELITE DUO  DH 4x12 25 METROS,2019-10-16,330683.24
56873,PO ELITE ALOE VERA DISPENSADOR 27 X 8,2021-04-08,3864.63
56875,PH ELITE DH 6 X 8 LA,2020-10-17,156559.49
56880,PL PAÑAL BABYSEC PREMIUM SME XG 52x2 ND2,2021-04-15,77211.18
56891,RC NOVA DH MEGAROLLO  2 X 6,2021-04-03,85101.46
56897,PH HIGIENOL DH 4x6 40 METROS,2020-08-05,261907.77
56899,TH TOALLAS HUMEDAS BABYSEC PREMIUM 50x10,2020-06-23,1595.32
56901,PL PAÑAL BABYSEC SPCTOTAL MEGA XG 40 X 3,2020-11-28,116.33
56905,TF LADYSOFT NOR CON ALAS 10 X 6 X 4 INN,2020-01-11,120802.26
56906,PH ELITE PLUS DH 24 X 2,2021-05-18,22430.36
56908,SE ELITE CORTADA 1000 X 12,2021-06-14,4004.82
56909,SE ELITE DOBLADA BLANCA 100 - 33X33 (N),2021-05-13,51810.84
56912,PH ELITE DUO  DH 4x12 25 METROS,2020-10-19,141868.42
56915,PL PAÑAL BABYSEC RECIEN NACIDO 20 X10 MX,2020-12-12,6133.23
56918,TH TOALLAS HUMEDAS BABYSEC PREMIUM 80x12,2019-10-13,219.83
56921,PL PAÑAL BABYSEC ULTRASEC PPK MD 64X2 NF,2021-06-06,6551.27
56922,SE ELITE PRACTICA 100 X 12 PAQ X BOLSA,2020-10-08,5603.22
56927,TF LADYSOFT DELG CON ALAS 10 X 6 X 4 INN,2020-12-28,7302.3
56930,TF LADYSOFT NORMAL CON ALAS 42 X 8 ASS,2019-11-02,16491.33
56932,PL PAÑAL BABYSEC PREMIUM PPK GR 58x2ND2,2019-10-08,59338.3
56934,PL PAÑAL BABYSECULTRASEC PPK XXG 44X2 NF,2020-02-29,135170.47
56941,TF LADYSOFT NATURAL CON ALAS 10 X 24 INN,2019-12-03,3861.61
56942,TF LADYSOFT NOCTURNA CON ALAS 8 X 24 INN,2019-11-21,6254.84
56944,PH ELITE CLÁSICO DH 2 X 10 CO,2021-01-14,28204.62
56954,PL PAÑAL BABYSEC PREMIUM PPK XXG 44x2 ND,2021-01-25,128925.14
56955,PH NOBLE DH 24 X 2,2021-06-10,86716.52
